Isin,Year,SR001,SR002,SR003,SR004,Trend_ESG_SR001,Trend_ENV_SR002,Trend_SOC_SR003,Trend_GOV_SR004
US0079031078,2018,6.070000172,6.841240406,4.237225056,7.072086811,0.19044100562199962,0.230901223,0.41742982865999956,-0.192366581
US0326541051,2018,4.53000021,4.951658726,2.288488626,6.702093601,0.8666601832999996,1.0432736253999995,0.2148575688400003,0.8109371569600006
US0382221051,2018,6.900000095,6.190028667,6.683382988,8.140346527,0.6567451213759998,0.23085598909000016,1.174702387,0.24405132295999898
US11135F1012,2018,2.029999971,0,1.427484035,7.473958492,0.6602840838519999,1.069467253,0.7038504215600003,-0.617206039
US29355A1079,2018,3.069999933,0.130537882,6.115842342,5.971273899,-0.74952281,0.8143015192000007,-4.199872322,0.4631234929200003
US3364331070,2018,5.900000095,4.897620678,6.523358345,6.698586464,-1.60870047,-1.7748425,-2.840242786,-0.212066422
US4581401001,2018,6.090000153,5.954993725,4.588829041,7.96273613,0.45370016085600007,0.037115426419999764,0.16384981179999958,1.131882248160001
US4824801009,2018,2.269999981,0.74273932,1.286757827,6.579876423,0.3938097670000005,0.33398858091999983,0.37913381615999997,-0.036193943
US5128071082,2018,5.170000076,5.792745113,2.418520212,7.722697735,1.3182836623940002,0.678133688,2.8307019999399996,0.2801201248399998
US5950171042,2018,4.199999809,3.854081869,2.959922552,6.143634796,0.9158284055159998,1.0837587594200002,1.1486012639199998,0.20842258424000004
US5951121038,2018,4.610000134,3.991905212,3.341876268,7.022703171,0.3769066373939989,0.6198619894400004,0.23530427994000025,-0.100080757
US6098391054,2018,2.75999999,1.436116338,2.149788141,5.793034554,1.0982895490279998,1.76375927,0.7650505635200004,0.14837394747999877
US67066G1040,2018,6.340000153,6.112621307,6.197593689,6.78883791,-0.579082485,1.1260629082500007,-3.219714336,-0.277854786
NL0009538784,2018,5.28000021,3.726347923,7.056555271,5.836448669,0.6021086348500004,0.3952705769899998,0.6420969011400004,0.6477266880400006
US6821891057,2018,4.559999943,3.02402091,3.978316545,7.729589939,0.604632641,0.21639762382999983,1.4168505860000007,0.0546496
US74736K1016,2018,2.25999999,0,2.528281927,6.880284786,0.43020456024000087,0.4979903323099997,0.23377035176000005,0.1915374569600008
US7475251036,2018,4.449999809,4.960540771,2.331400871,6.287592411,1.018379510722001,0.6137676905199996,2.4864343838600007,0.001137448
US83088M1027,2018,3.49000001,2.993724108,1.286757827,7.326281548,1.4979302076019998,1.1118105791100001,2.5531374537400002,0.48234752612000076
US8807701029,2018,4.309999943,3.533877611,2.648808479,7.60150528,-0.299850904,-1.484655147,0.377617855,0.33439853703999933
US8825081040,2018,4.550000191,4.866671085,2.395166159,6.72633028,0.260348113,0.12142994609000013,0.26004104622000046,0.2899579427600001
CNE100004ZD8,2018,,,,,1.7355878693079998,3.068009929,0.22260846400000012,0.34826240552000076
US00108J1097,2018,,,,,0.600903201,0,0.22260846400000012,0.44947902716000065
TW0003438008,2018,,,,,0.8499274023080003,0.3863758264299999,1.2649969849200002,0.18817358019999997
CNE100003MM9,2018,,,,,0.40869328415999995,-0.034203736,1.0680418772399998,0.3033928296799999
TW0003437000,2018,,,,,0.599272878,0.7376234935600001,0.18499698492000016,0.24822408683999964
TW0008261009,2018,,,,,2.234570745,3.113816946,2.9511322799200004,-0.160337877
JP3122400009,2018,4.840000153,6.188667297,2.589394331,5.683273792,1.396172349836001,1.31147789,2.2499700545600003,0.10838617371999959
DE000A0WMPJ6,2018,4.46999979,4.189671516,3.078452826,6.52155447,0.5665845375179996,0.5878639699999995,0.6028550532999999,-0.058760719
KYG022421088,2018,,,,,2.295713498,4.412756142,1.4719839767200003,0.18807906139999986
TW0003041000,2018,,,,,-0.562603147,-2.202888185,0.18499698492000016,0.204340363
CNE100001ZN3,2018,,,,,0.4727822044800001,0,0,0.17242184659999982
US01749D1054,2018,,,,,1.45942655,2.469887104,0.522515965,0.15542255360000024
BMG6331P1041,2018,,,,,0.7088459534920002,0.003025458,0.18499698492000016,-0.114926205
GB00BNDRMJ14,2018,,,,,1.085381046,0.35926055340999996,1.6703890767599998,0.40093328443999976
KYG037AX1015,2018,1.279999971,0,0.127523139,5.944007397,0.650549044,0,0.3320108127600001,0.3503575903199998
US0316521006,2018,1.659999967,0.558260918,0.127523139,6.362633228,0.4841809822759995,0.6632931449599999,0.5850208384000002,-0.19714592
CNE100003LZ3,2018,,,,,1.798891186,3.477452872,0.18499698492000016,-0.010582343
TW0002493004,2018,,,,,0.6860390055480001,0.21104946099999988,0.22260846400000012,1.3391021161599999
AT0000A18XM4,2018,2.390000105,1.852528214,1.286757827,4.639704227,0.48646417771399886,0.09212656,0.7468111805399991,0.7019654845599987
US0323325045,2018,,,,,0.8149941656040003,0,0.6837815710400001,0.11994401964000012
TW0006291008,2018,,,,,1.403975972,0.25556093982999994,3.4849969849200004,0.1185444068799999
TW0006533003,2018,,,,,0.8691662137400002,0.903025458,0.22260846400000012,0.3133085733599996
TW0006138001,2018,,,,,0.9260559108199997,0.048352354,2.6683939209200003,0.081187792
JP3105280006,2018,,,,,0.8925630748199999,0,1.08,0.8111795423999997
TW0006531007,2018,,,,,1.339787958,2.09838515,0.18499698492000016,0.7731371883199998
TW0008271008,2018,,,,,0.45647965565999993,1.992024539,-0.73807743,-0.4291436
TW0006449002,2018,,,,,0.7902665758240002,0.444434255,1.0026084640000001,0.1628183364399991
TW0003264008,2018,,,,,1.816699659925999,0.6977511503900002,5.067320709539999,-0.037989602
NO0010946593,2018,,,,,0.44379404816799983,0,0,0.9528133865599999
US04302A1043,2018,,,,,0.6086193793879999,0,0.14155197900000005,0.4144675829600004
TW0003711008,2018,4.309999943,4.362692356,4.328523159,4.229765892,0.2780489011339995,0.086120534,0.061807899,0.6506160927199991
TW0003169009,2018,,,,,0.35820098093999997,0.21715275592999994,0.22260846400000012,0.025250149
NL0000334118,2018,4.829999924,4.915108681,2.901241302,7.024358273,0.5823950004579999,0.6718572994500001,0.6212710478199996,0.18108207743999927
TW0005269005,2018,3.789999962,3.591845751,3.348202467,4.546528339,0.085156924,-0.239384599,0.4984946251600002,0.073336077
NL0010273215,2018,5.730000019,6.419311523,3.926659584,6.809139252,-0.282513804,0.2016138172999984,-1.489248847,0.2763044739600007
KYG0535Q1331,2018,3,2.424198389,1.86161077,5.270658016,0.4961234697560002,1.1064003132000004,-0.540873394,0.4777577592400002
TW0005274005,2018,,,,,0.43037822953600013,0.29318932586000024,0.7757122233199993,0.22789049131999928
US04965B1008,2018,,,,,0.920954917,0,0.5700000000000001,-0.346274052
KR7017900002,2018,1.279999971,0,1.427484035,3.576645613,0.9381431358880001,0,2.014488774,0.3588294263599998
US0545402085,2018,,,,,0.7001323627679996,0.9076438327599994,0.459921665,-0.013237381
JP3108080007,2018,,,,,0.856386902,0,1.10588386,0.5732110597999993
US00246W1036,2018,,,,,0.587445627,0,0.025883859920000002,-0.140642357
NL0012866412,2018,,,,,0.7104855380400013,0.5906478693500006,0.3989391711600003,1.1366739278400004
TW0003031001,2018,,,,,0.4088096233759999,0.2659496233800003,0.1483939209199998,0.6116929821600001
CNE100001XM0,2018,,,,,1.269309013,1.233025458,1.08,0.10173514352000002
DE000A1TNMM9,2018,,,,,0.5019198096119998,0,0.38736004400000007,0.877490425
US1572101053,2018,,,,,0.6486399737600002,0,0.22251596499999993,0.075611
TW0003257002,2018,,,,,0.6756655461680001,0.9057508643300001,0.46240736031999985,0.19429731379999993
TW0008070004,2018,,,,,0.8294596146159998,0.7112821124400001,0.8073424809200005,0.4214618018800005
TW0006548001,2018,,,,,0.20518255212199943,0.4266782746700004,-0.497960434,0.26126604999999925
