ISIN,Industry,ESG SCORE,ENVIRONMENTAL SCORE,SOCIAL SCORE,GOVERNANCE SCORE,ESG Score Range,Mean ESG,ESG Classification,E Classification,S Classification,G Classification
CNE100004ZD8,Semiconductors,3.0455878123080002,3.06800992938,1.08,4.98127946852,3-4,3.7648174326937798,Below Median,Leading,Below Median,Leading
US00108J1097,Semiconductors,2.030903148648,0.0,1.08,5.689677162160001,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Above Median
US0079031078,Semiconductors,6.960440986621999,7.32563970557,5.879456901659999,7.5544934463199995,6-7,3.7648174326937798,Above Median,Above Median,Above Median,Above Median
TW0003438008,Semiconductors,3.1799273263080003,1.71922842843,2.36852381592,5.9389293672,3-4,3.7648174326937798,Below Median,Below Median,Below Median,Above Median
CNE100003MM9,Semiconductors,4.23869320816,4.18185642571,4.13787849424,4.4152902986800004,4-5,3.7648174326937798,Leading,Above Median,Above Median,Below Median
TW0003437000,Semiconductors,3.319272906952,3.13103322256,1.28852381592,5.60100824384,3-4,3.7648174326937798,Below Median,Leading,Below Median,Above Median
TW0008261009,Semiconductors,4.364570858736,4.83216449508,3.8085238159199997,4.29715971976,4-5,3.7648174326937798,Leading,Above Median,Above Median,Below Median
JP3122400009,Semiconductors,6.656172578836001,7.91885351188,4.81350669856,6.81526388172,6-7,3.7648174326937798,Above Median,Above Median,Above Median,Above Median
DE000A0WMPJ6,Semiconductors,5.066584537518,4.302853154999999,3.4913767243000002,7.660100860759999,5-6,3.7648174326937798,Above Median,Above Median,Leading,Above Median
KYG022421088,Semiconductors,4.93571360292,6.34609573821,4.08962280272,3.9012948893999995,4-5,3.7648174326937798,Above Median,Above Median,Above Median,Below Median
TW0003041000,Semiconductors,2.567396967024,0.9445114788299999,1.28852381592,6.01011743572,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Above Median
CNE100001ZN3,Semiconductors,1.5127821664799999,0.0,0.0,5.0426072216,1-2,3.7648174326937798,Below Median,Below Median,Below Median,Leading
US01749D1054,Semiconductors,3.479426530892,3.15883764278,1.9500000000000002,5.4363049126,3-4,3.7648174326937798,Below Median,Leading,Below Median,Leading
BMG6331P1041,Semiconductors,2.718845943492,0.04451147883,1.28852381592,7.71494735728,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Above Median
GB00BNDRMJ14,Semiconductors,3.555381075024,2.06500362741,2.40543719176,6.69249488844,3-4,3.7648174326937798,Leading,Below Median,Below Median,Above Median
KYG037AX1015,Semiconductors,2.630549062824,0.0,2.66313583376,6.10536104232,2-3,3.7648174326937798,Below Median,Below Median,Leading,Above Median
US0316521006,Semiconductors,5.574181135276,3.9343681549599996,7.1058390714,6.22894050624,5-6,3.7648174326937798,Above Median,Above Median,Above Median,Above Median
CNE100003LZ3,Semiconductors,3.288891196296,3.5189388930299996,1.28852381592,4.98252831436,3-4,3.7648174326937798,Below Median,Above Median,Below Median,Leading
TW0002493004,Semiconductors,2.126039062548,0.8999999999999999,1.08,4.80679687516,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Leading
AT0000A18XM4,Semiconductors,6.336464082713999,5.398676109210001,6.443191318539999,7.480120811559999,6-7,3.7648174326937798,Above Median,Above Median,Above Median,Above Median
US0323325045,Semiconductors,2.904994079604,0.0,2.57611686704,7.10719673164,2-3,3.7648174326937798,Below Median,Below Median,Leading,Above Median
US0326541051,Semiconductors,5.3166599923,5.887834725399999,2.4462644958400004,7.42548917796,5-6,3.7648174326937798,Above Median,Above Median,Below Median,Above Median
TW0006291008,Semiconductors,3.203975923572,0.9445114788299999,4.5885238159199995,4.83204729088,3-4,3.7648174326937798,Below Median,Below Median,Above Median,Leading
TW0006533003,Semiconductors,2.2491662087399997,0.9445114788299999,1.08,5.15787205736,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Leading
TW0006138001,Semiconductors,4.33605599682,3.69292055913,4.5885238159199995,4.94110209464,4-5,3.7648174326937798,Leading,Above Median,Above Median,Leading
JP3105280006,Semiconductors,1.7825630608199998,0.0,1.08,4.8618768694,1-2,3.7648174326937798,Below Median,Below Median,Below Median,Leading
TW0006531007,Semiconductors,3.139787910172,2.84112447025,1.28852381592,5.38926992432,3-4,3.7648174326937798,Below Median,Leading,Below Median,Leading
TW0008271008,Semiconductors,4.90647946466,6.4718056895,2.9827882956800007,4.743069000519999,4-5,3.7648174326937798,Above Median,Above Median,Leading,Leading
TW0006449002,Semiconductors,2.4902666238239997,1.05784353573,1.86,5.030430698439999,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Leading
US0382221051,Semiconductors,6.816744968376,7.01039366709,4.72752616884,8.647765502959999,6-7,3.7648174326937798,Above Median,Above Median,Above Median,Above Median
TW0003264008,Semiconductors,5.566699659925999,4.51967106839,7.9240592765399995,4.605378165359999,5-6,3.7648174326937798,Above Median,Above Median,Above Median,Leading
NO0010946593,Semiconductors,1.0237940311679998,0.0,0.0,3.41264677056,1-2,3.7648174326937798,Below Median,Below Median,Below Median,Below Median
US04302A1043,Semiconductors,1.9086193313880002,0.0,0.5700000000000001,5.792064437960001,1-2,3.7648174326937798,Below Median,Below Median,Below Median,Above Median
TW0003711008,Semiconductors,5.388049035133999,5.8472570657,5.68115404146,4.482666654719999,5-6,3.7648174326937798,Above Median,Above Median,Above Median,Below Median
TW0003169009,Semiconductors,3.0082010759399997,2.72235457293,1.08,5.317530822559999,3-4,3.7648174326937798,Below Median,Leading,Below Median,Leading
NL0000334118,Semiconductors,5.602394981458,5.95523733145,3.8864051438200002,6.847928352439999,5-6,3.7648174326937798,Above Median,Above Median,Above Median,Above Median
TW0005269005,Semiconductors,5.145156866932,5.41797976945,5.3808441161600005,4.54570574768,5-6,3.7648174326937798,Above Median,Above Median,Above Median,Leading
NL0010273215,Semiconductors,7.02748613937,7.201710615299999,5.78559579854,8.03707717896,7-8,3.7648174326937798,Above Median,Above Median,Above Median,Above Median
KYG0535Q1331,Semiconductors,4.236123479756,4.7280812882,1.9027882956800002,5.91351491924,4-5,3.7648174326937798,Leading,Above Median,Below Median,Above Median
TW0005274005,Semiconductors,6.110378057536,6.59858111386,6.160245628319999,5.409573078319999,6-7,3.7648174326937798,Above Median,Above Median,Above Median,Leading
US04965B1008,Semiconductors,2.490954969432,0.0,0.5700000000000001,7.73318323144,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Above Median
KR7017900002,Semiconductors,2.2781431688879996,0.0,3.6385241316,3.9552864313599994,2-3,3.7648174326937798,Below Median,Below Median,Above Median,Below Median
US0545402085,Semiconductors,4.850132457768,4.50044182776,2.67377311712,7.49274597176,4-5,3.7648174326937798,Above Median,Above Median,Leading,Above Median
JP3108080007,Semiconductors,1.8963868643159998,0.0,1.28852381592,5.0327657318,1-2,3.7648174326937798,Below Median,Below Median,Below Median,Leading
US00246W1036,Semiconductors,2.007445583868,0.0,0.20852381592000002,6.48296146364,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Above Median
