ISIN,Name,Member Ticker,Mkt Cap,Industry
CNE100004ZD8,ACM RESEARCH S-A,688082 CH Equity,"4,885,443,926.00",Semiconductors
US00108J1097,ACM RESEARCH-A,ACMR US Equity,"1,474,910,952.00",Semiconductors
US0079031078,ADV MICRO DEVICE,AMD US Equity,"241,546,435,400.00",Semiconductors
TW0003438008,ADVANCED ANALOG,3438 TT Equity,"98,788,154.60",Semiconductors
CNE100003MM9,ADVANCED MICRO-A,688012 CH Equity,"11,573,338,720.00",Semiconductors
TW0003437000,ADVANCED OPTOELE,3437 TT Equity,"110,869,728.80",Semiconductors
TW0008261009,ADVANCED POWER,8261 TT Equity,"283,204,361.20",Semiconductors
JP3122400009,ADVANTEST CORP,6857 JP Equity,"25,184,853,120.00",Semiconductors
DE000A0WMPJ6,AIXTRON SE,AIXA GR Equity,"2,320,657,495.20",Semiconductors
KYG022421088,ALCHIP TECH,3661 TT Equity,"6,107,526,886.00",Semiconductors
TW0003041000,ALI CORP,3041 TT Equity,"122,241,941.60",Semiconductors
CNE100001ZN3,ALL WINNER TEC-A,300458 CH Equity,"1,684,579,116.00",Semiconductors
US01749D1054,ALLEGRO MICROSYS,ALGM US Equity,"5,272,966,470.00",Semiconductors
BMG6331P1041,ALPHA & OMEGA SE,AOSL US Equity,"802,861,587.80",Semiconductors
GB00BNDRMJ14,ALPHAWAVE IP,AWE LN Equity,"1,327,169,384.00",Semiconductors
KYG037AX1015,AMBARELLA INC,AMBA US Equity,"2,174,945,044.00",Semiconductors
US0316521006,AMKOR TECH INC,AMKR US Equity,"8,070,878,490.00",Semiconductors
CNE100003LZ3,AMLOGIC SHANGH-A,688099 CH Equity,"3,217,425,922.00",Semiconductors
TW0002493004,AMPOC FAR-EAST,2493 TT Equity,"309,774,104.60",Semiconductors
AT0000A18XM4,AMS-OSRAM AG,AMS SW Equity,"1,335,355,852.09",Semiconductors
US0323325045,AMTECH SYS INC,ASYS US Equity,"78,614,907.06",Semiconductors
US0326541051,ANALOG DEVICES,ADI US Equity,"108,535,098,000.00",Semiconductors
TW0006291008,ANALOG INTEGRA,6291 TT Equity,"189,890,158.80",Semiconductors
TW0006533003,ANDES TECH,6533 TT Equity,"617,501,435.20",Semiconductors
TW0006138001,ANPEC ELEC,6138 TT Equity,"473,736,590.20",Semiconductors
JP3105280006,AOI ELECTRONICS,6832 JP Equity,"182,226,438.80",Semiconductors
TW0006531007,AP MEMORY TECH,6531 TT Equity,"1,646,980,158.00",Semiconductors
TW0008271008,APACER TECH,8271 TT Equity,"252,141,995.60",Semiconductors
TW0006449002,APAQ TECH,6449 TT Equity,"319,941,618.00",Semiconductors
US0382221051,APPLIED MATERIAL,AMAT US Equity,"183,821,801,000.00",Semiconductors
TW0003264008,ARDENTEC,3264 TT Equity,"1,069,135,670.00",Semiconductors
NO0010946593,ARGEO AS,ARGEO NO Equity,"62,754,371.22",Semiconductors
US04302A1043,ARTERIS INC,AIP US Equity,"292,375,591.00",Semiconductors
TW0003711008,ASE TECHNOLOGY H,3711 TT Equity,"20,811,298,960.00",Semiconductors
TW0003169009,ASIX ELEC,3169 TT Equity,"249,368,102.80",Semiconductors
NL0000334118,ASM INTL NV,ASM NA Equity,"33,403,812,738.40",Semiconductors
TW0005269005,ASMEDIA TECH,5269 TT Equity,"4,097,912,582.00",Semiconductors
NL0010273215,ASML HOLDING NV,ASML NA Equity,"380,804,102,834.00",Semiconductors
KYG0535Q1331,ASMPT LTD,522 HK Equity,"4,959,380,132.00",Semiconductors
TW0005274005,ASPEED TECH,5274 TT Equity,"5,107,981,532.00",Semiconductors
US04965B1008,ATOMERA INC,ATOM US Equity,"97,751,683.20",Semiconductors
KR7017900002,AUK CORP,017900 KS Equity,"84,777,192.16",Semiconductors
US0545402085,AXCELIS TECH INC,ACLS US Equity,"4,291,954,234.00",Semiconductors
JP3108080007,AXELL CORP,6730 JP Equity,"94,789,001.20",Semiconductors
US00246W1036,AXT INC,AXTI US Equity,"151,457,537.60",Semiconductors
NL0012866412,BE SEMICONDUCTOR,BESI NA Equity,"12,464,138,956.80",Semiconductors
TW0003031001,BRIGHT LED,3031 TT Equity,"106,829,453.00",Semiconductors
US11135F1012,BROADCOM INC,AVGO US Equity,"730,436,630,000.00",Semiconductors
CNE100001XM0,CANMAX TECHNOL-A,300390 CH Equity,"2,045,446,868.00",Semiconductors
DE000A1TNMM9,CENTROTHERM INTE,CTNK GR Equity,"88,881,996.00",Semiconductors
US1572101053,CEVA INC,CEVA US Equity,"452,919,309.80",Semiconductors
TW0003257002,CHAMPION MICRO,3257 TT Equity,"140,262,898.80",Semiconductors
TW0008070004,CHANG WAH ELEC,8070 TT Equity,"1,025,723,500.00",Semiconductors
TW0006548001,CHANG WAH TECH,6548 TT Equity,"1,146,473,820.00",Semiconductors
TW0001597003,CHIEFTEK,1597 TT Equity,"173,547,743.20",Semiconductors
CNE100003S06,CHINA RESOURCE-A,688396 CH Equity,"6,728,886,350.00",Semiconductors
TW0008084005,CHIP HOPE,8084 TT Equity,"186,162,039.40",Semiconductors
TW0006147002,CHIPBOND TECH,6147 TT Equity,"1,469,350,082.00",Semiconductors
TW0008150004,CHIPMOS TECH,8150 TT Equity,"932,822,390.80",Semiconductors
US1727551004,CIRRUS LOGIC INC,CRUS US Equity,"6,196,426,038.00",Semiconductors
GB0001602944,CML MICROSYSTEMS,CML LN Equity,"67,654,011.72",Semiconductors
US19247G1076,COHERENT CORP,COHR US Equity,"10,105,362,500.00",Semiconductors
US1925761066,COHU INC,COHU US Equity,"1,402,928,060.00",Semiconductors
KYG234201138,COMTEC SOLAR,712 HK Equity,"19,402,763.30",Semiconductors
TW0002466000,COSMO ELEC,2466 TT Equity,"185,749,880.80",Semiconductors
MYL7204OO000,D&O GREEN TECH,DOGT MK Equity,"966,983,890.00",Semiconductors
JP3487600003,DAITRON CO LTD,7609 JP Equity,"197,246,395.40",Semiconductors
CNE000000X87,DATANG TELECOM-A,600198 CH Equity,"872,130,401.40",Semiconductors
TW0003094009,DAVICOM SEMI,3094 TT Equity,"75,998,027.06",Semiconductors
KR7000990002,DB HITEK CO LTD,000990 KS Equity,"1,215,363,186.00",Semiconductors
US2545431015,DIODES INC,DIOD US Equity,"3,181,686,818.00",Semiconductors
JP3548600000,DISCO CORP,6146 JP Equity,"41,276,328,620.00",Semiconductors
CNE100001RT7,EAST GROUP CO-A,300376 CH Equity,"1,292,561,146.00",Semiconductors
TW0003048005,EDOM TECH,3048 TT Equity,"286,474,526.60",Semiconductors
TW0002458007,ELAN,2458 TT Equity,"1,413,404,926.00",Semiconductors
TW0003450003,ELITE ADVANCED,3450 TT Equity,"401,504,160.00",Semiconductors
TW0003006003,ELITE SEMICONDUC,3006 TT Equity,"817,639,483.00",Semiconductors
